iter	Passed	Remaining
567	26959	115433
568	27006	115384
569	27054	115336
570	27103	115296
571	27149	115242
572	27197	115196
573	27247	115159
574	27293	115107
575	27339	115054
576	27387	115009
577	27434	114958
578	27481	114911
579	27527	114857
580	27575	114811
581	27614	114726
582	27661	114678
583	27708	114630
584	27757	114587
585	27805	114542
586	27852	114494
587	27901	114453
588	27949	114408
589	27996	114357
590	28043	114308
591	28082	114227
592	28135	114203
593	28182	114153
594	28227	114096
595	28272	114039
596	28318	113985
597	28364	113930
598	28411	113883
599	28460	113843
600	28519	113839
601	28567	113794
602	28612	113737
603	28659	113689
604	28707	113644
605	28756	113601
606	28804	113555
607	28849	113500
608	28896	113449
609	28943	113400
610	28990	113350
611	29037	113301
612	29081	113244
613	29127	113188
614	29164	113103
615	29212	113055
616	29260	113010
617	29308	112967
618	29355	112918
619	29401	112863
620	29450	112821
621	29507	112809
622	29560	112786
623	29609	112742
624	29666	112733
625	29724	112726
626	29777	112699
627	29820	112635
628	29871	112600
629	29916	112541
630	29962	112489
631	30010	112444
632	30057	112395
633	30105	112350
634	30150	112292
635	30198	112245
636	30254	112230
637	30306	112200
638	30351	112143
639	30396	112086
640	30445	112046
641	30482	111960
642	30529	111909
643	30579	111870
644	30623	111810
645	30670	111761
646	30716	111709
647	30764	111664
648	30819	111644
649	30866	111595
650	30916	111555
651	30961	111500
652	31020	111494
653	31070	111454
654	31114	111395
655	31159	111337
656	31214	111316
657	31266	111284
658	31312	111234
659	31361	111189
660	31406	111133
661	31451	111079
662	31496	111020
663	31545	110977
664	31589	110918
665	31630	110847
666	31678	110803
667	31728	110763
668	31776	110717
669	31821	110662
670	31860	110584
671	31908	110540
672	31955	110489
673	32011	110473
674	32060	110429
675	32104	110372
676	32152	110325
677	32199	110276
678	32245	110223
679	32293	110177
680	32339	110126
681	32387	110079
682	32434	110029
683	32479	109975
684	32527	109927
685	32578	109892
686	32623	109837
687	32671	109792
688	32719	109744
689	32764	109690
690	32810	109639
691	32856	109586
692	32901	109528
693	32940	109454
694	32988	109406
695	33044	109388
696	33099	109365
697	33145	109315
698	33192	109263
699	33235	109203
700	33277	109135
701	33326	109095
702	33374	109047
703	33420	108996
704	33467	108948
705	33515	108900
706	33562	108852
707	33612	108812
708	33663	108776
709	33710	108729
710	33761	108691
711	33807	108640
712	33856	108596
713	33901	108542
714	33951	108501
715	34004	108470
716	34050	108420
717	34094	108362
718	34140	108309
719	34188	108265
720	34232	108206
721	34272	108134
722	34321	108090
723	34368	108042
